tipo;tipo_documento;folio;emisor;receptor;razon_social_receptor;publicacion;emision;monto_neto;monto_exento;monto_iva;monto_total;impuestos;fecha_sii;estado_sii;informacion_sii;fecha_intercambio;estado_intercambio;informacion_intercambio;uri;referencias;indservicio;condicion_pago;tipofactesp;fecha_vencimiento;estado_reclamo_mercaderia;fecha_reclamo_mercaderia;estado_reclamo_contenido;fecha_reclamo_contenido
33;factura_electronica;15324;  76.379.570-5;  96.813.520-1;CHILQUINTA ENERGIA S A;10-10-2019 12:39;09-10-2019;112261;0;21330;133591;;;;;;;;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012392239_154040448_?k=98b8e92fce86e740d82d52fa6452de54;"[{""Nro.Ref"":""1"",""Tipo"":""801"",""Folio"":""2500021983"",""Fecha"":""2019-10-09"",""Razon Ref"":""OC 2500021983""}]";;Crédito;;09-11-2019;;;;
33;factura_electronica;15323;  76.379.570-5;  76.555.400-4;TRANSELEC S A;10-10-2019 12:36;09-10-2019;224523;0;42659;267182;[ ];10-10-2019 12:40;ACEPTADO_POR_EL_SII;2019-10-10 12:40:40.733 TrackID: 4062430464;10-10-2019 12:40;ENVIADO_POR_INTERCAMBIO;Recibe: transelecrecepcion@custodium.com;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012365436_154040424_?k=98b8e92fce86e740d82d52fa6452de54;"[{""Nro.Ref"":""1"",""Tipo"":""801"",""Folio"":""4500119137"",""Fecha"":""2019-01-10"",""Razon Ref"":""""},{""Nro.Ref"":""2"",""Tipo"":""HES"",""Folio"":""1000332373"",""Fecha"":""2019-10-01"",""Razon Ref"":""""}]";;Crédito;;09-11-2019;;;;
33;factura_electronica;15322;  76.379.570-5;  81.274.800-9;Receptor no Electronico;10-10-2019 12:32;09-10-2019;420980;0;79986;500966;[ ];10-10-2019 12:36;ACEPTADO_POR_EL_SII;2019-10-10 12:36:37.376 TrackID: 4062413738;;NO_ELECTRONICO;;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012325432_154040331_?k=98b8e92fce86e740d82d52fa6452de54;;;;;09-11-2019;;;;
33;factura_electronica;15321;  76.379.570-5;  81.274.800-9;Receptor no Electronico;10-10-2019 12:32;09-10-2019;336784;0;63989;400773;[ ];10-10-2019 12:36;ACEPTADO_POR_EL_SII;2019-10-10 12:36:37.376 TrackID: 4062413738;;NO_ELECTRONICO;;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012325132_154040330_?k=98b8e92fce86e740d82d52fa6452de54;;;;;09-11-2019;;;;
33;factura_electronica;15320;  76.379.570-5;  96.684.990-8;MONEDA S.A. ADMINISTRADORA GENERAL DE FONDOS;10-10-2019 12:30;09-10-2019;140327;0;26662;166989;;10-10-2019 12:32;ACEPTADO_POR_EL_SII;2019-10-10 12:32:32.289 TrackID: 4062397236;10-10-2019 12:33;ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA;Receptor: facturaciondte@facturachile.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  ASPMX.L.GOOGLE.com Codigo de Respuesta:  250 2.0.0 OK  1570721556 ck18si3184203ejb.300 - gsmtp.;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012303030_154040255_?k=98b8e92fce86e740d82d52fa6452de54;;;Crédito;;09-11-2019;;;;
33;factura_electronica;15319;  76.379.570-5;  96.684.990-8;MONEDA S.A. ADMINISTRADORA GENERAL DE FONDOS;10-10-2019 12:28;09-10-2019;561307;0;106648;667955;[ ];10-10-2019 12:32;ACEPTADO_POR_EL_SII;2019-10-10 12:32:32.289 TrackID: 4062397236;10-10-2019 12:33;ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA;Receptor: facturaciondte@facturachile.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  smtp-05.custodium.com Servidor Remoto:  ASPMX.L.GOOGLE.com Codigo de Respuesta:  250 2.0.0 OK  1570721556 ck18si3184203ejb.300 - gsmtp.;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012285428_154040205_?k=98b8e92fce86e740d82d52fa6452de54;;;Crédito;;09-10-2019;;;;
33;factura_electronica;15318;  76.379.570-5;  97.004.000-5;BANCO DE CHILE;10-10-2019 12:24;09-10-2019;982287;0;186635;1168922;;10-10-2019 12:26;ACEPTADO_POR_EL_SII;2019-10-10 12:26:55.071 TrackID: 4062370254;10-10-2019 12:28;ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA;Receptor: bancochile_rec@artikos.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.artikos.cl Servidor Remoto:  localhost Codigo de Respuesta:  250 OK: data received.;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012241824_154040080_?k=98b8e92fce86e740d82d52fa6452de54;;;;;09-11-2019;;;;
33;factura_electronica;15317;  76.379.570-5;  97.004.000-5;BANCO DE CHILE;10-10-2019 12:24;09-10-2019;280654;0;53324;333978;[ ];10-10-2019 12:26;ACEPTADO_POR_EL_SII;2019-10-10 12:26:55.071 TrackID: 4062370254;10-10-2019 12:28;ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA;Receptor: bancochile_rec@artikos.cl Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.artikos.cl Servidor Remoto:  localhost Codigo de Respuesta:  250 OK: data received.;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012241524_154040077_?k=98b8e92fce86e740d82d52fa6452de54;;;;;09-11-2019;;;;
33;factura_electronica;15316;  76.379.570-5;  97.018.000-1;SCOTIABANK CHILE;10-10-2019 12:22;09-10-2019;701634;0;133310;834944;[ ];10-10-2019 12:26;ACEPTADO_POR_EL_SII;2019-10-10 12:26:55.071 TrackID: 4062370254;10-10-2019 12:28;ENTREGA_DE_DTE_POR_INTERCAMBIO_EXITOSA;"Receptor: recepcion@custodium.com Entrega: Retransmitida Estado: 2.0.0 Servidor Informante:  mail.custodium.com Servidor Remoto:  mail.custodium.com Codigo de Respuesta:  250 2.0.0 <recepcion@custodium.com>     UxdJAcxNn11oYgAA/AembA Saved.";http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012224122_154040051_?k=98b8e92fce86e740d82d52fa6452de54;;;Crédito;;09-11-2019;;;;
33;factura_electronica;15315;  76.379.570-5;  73.037.900-5;Receptor no Electronico;10-10-2019 12:18;09-10-2019;841961;0;159973;1001934;;10-10-2019 12:21;ACEPTADO_POR_EL_SII;2019-10-10 12:21:51.304 TrackID: 4062350636;;NO_ELECTRONICO;;http://lvaindices1910.acepta.com/v01/0000000_1721614177_1012181718_154039998_?k=98b8e92fce86e740d82d52fa6452de54;;;;;09-11-2019;;;;
